iter	RMSE
321	0.4220126888
322	0.4216857825
323	0.4213505989
324	0.4209289161
325	0.4206911965
326	0.4203671428
327	0.4200059602
328	0.4196022686
329	0.4193945219
330	0.4188550806
331	0.4184570018
332	0.4181607548
333	0.4178686424
334	0.4175793188
335	0.4172398201
336	0.416788035
337	0.4164639379
338	0.4162365909
339	0.4159343691
340	0.415486485
341	0.4150831297
342	0.414911058
343	0.4146150125
344	0.4143025528
345	0.4140612667
346	0.4138471784
347	0.4134367812
348	0.4131777799
349	0.4128490371
350	0.4125569913
351	0.4121538266
352	0.4118636061
353	0.4115308717
354	0.4112976493
355	0.41103319
356	0.4107458618
357	0.4103264503
358	0.4098925632
359	0.4096463761
360	0.4093696916
361	0.4092428472
362	0.4089748275
363	0.4086518321
364	0.4084808611
365	0.4081352679
366	0.407894302
367	0.4075446661
368	0.407349903
369	0.4071531744
370	0.4068920507
371	0.4066590029
372	0.406411698
373	0.4061710734
374	0.4058611577
375	0.4056199038
376	0.4053955936
377	0.4050569487
378	0.4049810243
379	0.4048078499
380	0.4045411331
381	0.4041427551
382	0.4039561233
383	0.4037575958
384	0.4034940816
385	0.4032837461
386	0.4028826882
387	0.4024954536
388	0.4021933078
389	0.4018164612
390	0.4016316204
391	0.4014366826
392	0.4011074064
393	0.400943206
394	0.4005880557
395	0.4003308594
396	0.4000758658
397	0.3997674715
398	0.3995394731
399	0.3992169644
400	0.3989307749
401	0.3987706791
402	0.3984206683
403	0.3981280558
404	0.3978488799
405	0.3976296228
406	0.397451289
407	0.3971275922
408	0.3967809955
409	0.3966295179
410	0.3963627882
411	0.3960862722
412	0.3957923648
413	0.3954643758
414	0.3952710326
415	0.3950927568
416	0.3948384165
417	0.394499541
418	0.3942659834
419	0.3939889335
420	0.3937309306
421	0.393457366
422	0.3932142961
423	0.3930284106
424	0.3928639515
425	0.3925846298
426	0.3923869727
427	0.3920882933
428	0.3919527844
429	0.3916972721
430	0.3914617309
431	0.3913327262
432	0.3910391507
433	0.3907476135
434	0.3904443863
435	0.3903720007
436	0.3901238058
437	0.3898835487
438	0.3896457233
439	0.3895270498
440	0.3891885984
441	0.3890016432
442	0.3888390705
443	0.3886497781
444	0.3883619737
445	0.3881762728
446	0.3879623278
447	0.387685767
448	0.387538286
449	0.3872916784
450	0.3869796789
451	0.3867591919
452	0.3865151709
453	0.3863494892
454	0.3861728394
455	0.3859865026
456	0.3857603949
457	0.385468862
458	0.3853398241
459	0.3851940265
460	0.3848801351
461	0.3845397014
462	0.3843807317
463	0.3841698624
464	0.3840867614
465	0.3839700174
466	0.3837325414
467	0.3835532245
468	0.3833940373
469	0.3831373719
470	0.3829444548
471	0.3827749612
472	0.3825353977
473	0.3822820423
474	0.3820913598
475	0.3818098923
476	0.3815349627
477	0.3813804796
478	0.3811644433
479	0.3809539208
480	0.3808048511
481	0.3806049809
482	0.3803402572
483	0.3800746984
484	0.3799236471
485	0.3797198577
486	0.3793711743
487	0.3792111315
488	0.3790127606
489	0.3788046736
490	0.378675232
491	0.3784878899
492	0.3782617689
493	0.3781105088
494	0.3780074631
495	0.3777899746
496	0.3776199019
497	0.3774329815
498	0.3773119595
499	0.377199428
500	0.3770548424
501	0.3768220347
502	0.3764703853
503	0.3763007205
504	0.3759967209
505	0.3758519165
506	0.3755310486
507	0.375334078
508	0.3750773531
509	0.3747843614
510	0.3745455087
511	0.37445393
512	0.3741482884
513	0.3739503352
514	0.3738223971
515	0.3736198879
516	0.3734741733
517	0.3732375837
518	0.3731052253
519	0.37292764
520	0.3727760506
521	0.372609492
522	0.3724748569
523	0.3722341618
524	0.3720371946
525	0.371880983
526	0.3715874763
527	0.3712955552
528	0.3711348999
529	0.371001482
530	0.3707508693
531	0.3704176842
532	0.3701381915
533	0.370025243
534	0.3697489108
535	0.3695917518
536	0.3693122043
537	0.3691512797
538	0.3688779354
539	0.368694875
540	0.3684835991
541	0.3682132338
542	0.3680368627
543	0.3678425773
544	0.3675584892
545	0.3672538021
546	0.3669929863
547	0.3667485575
548	0.3666648971
549	0.3664034229
550	0.3660871667
551	0.3659329182
552	0.365774564
553	0.3655220097
554	0.365323041
555	0.3651886519
556	0.3650252844
557	0.3648306227
558	0.364647705
559	0.3645747871
560	0.3642953214
561	0.364126863
562	0.3640232005
563	0.3637697919
564	0.3635806834
565	0.3633922588
566	0.3632306899
567	0.3629946894
568	0.3627107728
569	0.3625883067
570	0.3624615904
571	0.3623800863
572	0.3622560069
573	0.3621262109
574	0.3619934049
575	0.3618872838
576	0.3616261127
577	0.3615038176
578	0.3613463106
579	0.3611561588
580	0.3610093493
581	0.3608019138
582	0.3606516021
583	0.3605854284
584	0.3604422294
585	0.3601967814
586	0.3599812613
587	0.3598654413
588	0.3597500275
589	0.3596761766
590	0.3594018675
591	0.3592369644
592	0.3590132647
593	0.3588839442
594	0.3587745979
595	0.3586372221
596	0.3584799122
597	0.358369845
598	0.3581275523
599	0.3578644425
600	0.3576751725
601	0.3575242319
602	0.3573558072
603	0.3571120143
604	0.3569168283
605	0.3567186778
606	0.3564330543
607	0.356316942
608	0.356078533
609	0.355884073
610	0.3556814047
611	0.3555499039
612	0.3553800952
613	0.3551303631
614	0.3549143036
615	0.3547769425
616	0.3546735203
617	0.3545887988
618	0.3544526235
619	0.3542566107
620	0.3540606006
621	0.3539278098
622	0.3538262009
623	0.3536301956
624	0.3533785018
625	0.3532354262
626	0.3530995786
627	0.3529137193
628	0.3527284747
629	0.3526321046
630	0.3524366074
631	0.3522618602
632	0.3520703789
633	0.3518911082
634	0.351777085
635	0.3515498737
636	0.3514650945
637	0.3513447155
638	0.3512813068
639	0.3511638843
640	0.3510492356
641	0.3509037884
642	0.350821028
643	0.3507346205
644	0.3505983978
645	0.350505199
646	0.3503567065
647	0.3501736034
648	0.350084509
649	0.3499184609
650	0.3497335883
651	0.3494996493
652	0.3494384443
653	0.3492773188
654	0.3490765394
655	0.3489715819
656	0.3488471208
657	0.3487157177
658	0.3486282589
659	0.3484491405
660	0.348163034
661	0.347987598
662	0.3478387223
663	0.3477201276
664	0.3475008763
665	0.3474152386
666	0.347342177
667	0.3471030984
668	0.3470144627
669	0.3468943177
670	0.346762775
671	0.3465240705
672	0.3464069754
673	0.346235449
674	0.3460256751
675	0.3458032854
676	0.3456930909
677	0.3455328342
678	0.3454380409
679	0.345225889
680	0.3450412353
681	0.3448787475
682	0.3447070658
683	0.3446139963
684	0.3445121121
685	0.3443063984
686	0.3441343329
687	0.3438772648
688	0.3436917769
689	0.3436365355
690	0.3434235363
691	0.3432991681
692	0.3430595606
693	0.342910358
694	0.3428136259
695	0.3426526429
696	0.3424208917
697	0.3422617824
698	0.342167254
699	0.342097544
700	0.3418927489
701	0.3417485879
702	0.341631574
703	0.34146545
704	0.3412894158
705	0.3410379661
706	0.3409047825
707	0.3407121974
708	0.3405530634
709	0.3403610296
710	0.3401525662
711	0.3400710497
712	0.3398999827
713	0.3397724039
714	0.3396607859
715	0.3395497208
716	0.3393546227
717	0.339229823
718	0.3389549467
719	0.3388256865
720	0.3387103449
721	0.338563455
722	0.3384459733
723	0.3383683878
724	0.3381797801
725	0.3380888517
726	0.3379333553
727	0.3377671237
728	0.3376703344
729	0.3375624284
730	0.3374276901
731	0.3372879089
732	0.3372030033
733	0.3369841165
734	0.3368819548
735	0.3367456741
736	0.3365099628
737	0.336382204
738	0.3362585236
739	0.3361181188
740	0.3359169879
741	0.3356895339
742	0.3353772375
743	0.3352230258
744	0.3351344613
745	0.3349993269
746	0.3348450889
747	0.3346901829
748	0.3345748361
749	0.3343675926
750	0.3342225513
751	0.3340605597
752	0.3339132614
753	0.3337132982
754	0.3334809754
755	0.3332033718
756	0.3330312843
757	0.3329345682
758	0.332831081
759	0.3327236312
760	0.3326110131
761	0.3324482072
762	0.3323199968
763	0.3322113114
764	0.3321235602
765	0.3319307276
766	0.3317793204
767	0.331653391
768	0.3315246086
769	0.3313961392
770	0.3312256377
771	0.3311101928
772	0.3309111457
773	0.3307135342
774	0.3306152913
775	0.3305300553
776	0.3304124141
777	0.3302247199
778	0.33005539
779	0.3298734272
780	0.3296079767
781	0.3294689091
782	0.3292577168
783	0.329152741
784	0.3290627417
785	0.3289367422
786	0.3287417404
787	0.3285373875
788	0.3283533761
789	0.328202539
790	0.3280364705
791	0.327960587
792	0.3277340886
793	0.3276284222
794	0.3274879983
795	0.3273134033
796	0.327197151
797	0.3271025755
798	0.3270008596
799	0.3269007432
800	0.3267577676
801	0.3266490318
802	0.3265021517
803	0.3263999369
804	0.3262892868
805	0.3261782887
806	0.3259918562
807	0.3257625778
808	0.3256215828
809	0.3254553757
810	0.3253672524
811	0.3252279027
812	0.3251461731
813	0.3250300654
814	0.3248381903
815	0.3247084724
816	0.3245138256
817	0.3243510693
818	0.3241897731
819	0.3240458046
820	0.3238996571
821	0.323793115
822	0.3236180008
823	0.323454963
824	0.3233188948
825	0.32317942
826	0.3230687854
827	0.3228872676
828	0.3227513635
829	0.3226499978
830	0.3225129235
831	0.3224620269
832	0.3223729538
833	0.3222059331
834	0.3220601028
835	0.3219794677
836	0.3218499518
837	0.3217261301
838	0.3215376768
839	0.3213535276
840	0.3210995772
841	0.3209280219
842	0.3207409036
843	0.3205954259
844	0.3204582635
845	0.3203629011
846	0.320230968
847	0.3201511112
848	0.3200178397
849	0.3199416806
850	0.3198030066
851	0.3195925529
852	0.319391463
853	0.3192790813
854	0.3191153694
855	0.3188711697
856	0.3187631532
857	0.3186853746
858	0.3185370488
859	0.3184316099
860	0.3183284809
861	0.3181546645
862	0.3180146033
863	0.3178683407
864	0.3177109749
865	0.3175611245
866	0.3174087808
867	0.3172493618
868	0.3170875789
869	0.3170054038
870	0.3168770395
871	0.3167855966
872	0.3166317531
873	0.3164768537
874	0.3164019549
875	0.3162729567
876	0.3161995844
877	0.3160845147
878	0.315880996
879	0.3156849113
880	0.3156063889
881	0.3155180187
882	0.3153689975
883	0.315206676
884	0.3151408402
885	0.3150620114
886	0.3149617541
887	0.314804058
888	0.3146262989
889	0.3143687461
890	0.3142488748
891	0.3141431788
892	0.3140833632
893	0.3138854904
894	0.31369366
895	0.313541658
896	0.3133927774
897	0.3132415797
898	0.3131258282
899	0.3129950081
900	0.3128895987
901	0.3127825405
902	0.3127439511
903	0.3126214495
904	0.3125308182
905	0.3124441878
906	0.3123605663
907	0.3121393082
908	0.3120303213
909	0.3119558904
910	0.3118930692
911	0.3116732146
912	0.3115914862
913	0.3114151059
914	0.3113322482
915	0.3112014377
916	0.3110339043
917	0.3109496933
918	0.3108563136
919	0.3107157378
920	0.310631784
921	0.3105163747
922	0.3104251467
923	0.3103667914
924	0.3102360495
925	0.3100500307
926	0.3099496891
927	0.3098373629
928	0.3097475983
929	0.3096239522
930	0.3095158248
931	0.3094470806
932	0.3092901852
933	0.3091607219
934	0.3090687943
935	0.3089940973
936	0.3088718382
937	0.3086738514
938	0.3085816062
939	0.3084739357
940	0.3083952995
941	0.3083257907
942	0.3082670081
943	0.3082261616
944	0.3080805784
945	0.3078354477
946	0.3076980238
947	0.3076052222
948	0.3074775635
949	0.3074024695
950	0.3072771663
951	0.3071486734
952	0.3070530068
953	0.3069280974
954	0.3067413921
955	0.3066271447
956	0.3064775543
957	0.3063838302
958	0.3063016966
959	0.3061766067
960	0.3060974067
961	0.3060109656
962	0.3058553706
963	0.3057107385
964	0.305616289
965	0.3055395825
966	0.3054299386
967	0.3053210899
968	0.3052274662
969	0.3051344075
970	0.3049431168
971	0.3048510419
972	0.3045867134
973	0.3044866137
974	0.3043447642
975	0.304222006
976	0.304029707
977	0.3038474935
978	0.3037474868
979	0.3036514205
980	0.3035623851
981	0.3035405063
982	0.3033854998
983	0.303317612
984	0.3032384814
985	0.3031199302
986	0.3029574845
987	0.3027541278
988	0.3026727436
989	0.3025307509
990	0.3024167909
991	0.3023181026
992	0.3022151074
993	0.3020634066
994	0.3019550427
995	0.3019100258
996	0.301834239
997	0.3016918409
998	0.3015188158
999	0.3014514777
